"date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume","launch_period","positive_pct","negative_pct"
2017-10-18,8,2293,10494,812,20,3728,15290,1219,0,0,0,0,160,74,184,906,0.103586861313869,411,8,0,0,0,0,0,0,0,42,2017,113.160004,9784700,"Post-Launch",0.447688564476886,0.389294403892944
2017-10-19,9,8657,8691,474,81,11319,19130,1057,0,0,0,0,45,50,76,220,0.119330994152047,171,2,0,0,1,0,0,0,0,42,2017,113.07,3183200,"Post-Launch",0.444444444444444,0.263157894736842
2017-10-20,15,1833,7371,314,38,10778,46061,2176,1,0,0,0,55,40,72,392,0.0823790419161677,167,2,0,0,0,0,0,0,0,42,2017,113.620003,1988800,"Post-Launch",0.431137724550898,0.329341317365269
2017-10-21,9,903,5259,260,35,3394,9968,782,0,0,0,0,26,11,23,97,-0.0406533333333333,60,0,0,0,0,0,0,0,0,42,2017,NA,NA,"Post-Launch",0.383333333333333,0.433333333333333
2017-10-22,10,2520,4584,229,27,3128,6598,375,0,0,0,0,28,18,32,281,0.0240205128205128,78,0,0,0,0,0,0,0,0,43,2017,NA,NA,"Post-Launch",0.41025641025641,0.358974358974359
2017-10-23,11,1709,6020,263,25,4969,23849,1095,1,6,33,0,7,4,12,57,0.217713043478261,23,2,0,0,0,0,0,0,0,43,2017,113.660004,2204700,"Post-Launch",0.521739130434783,0.304347826086957
2017-10-24,8,673,2760,158,24,1797,6977,436,1,1,2,0,6,9,28,50,0.372351162790698,43,4,0,0,0,0,0,0,0,43,2017,113.389999,2006100,"Post-Launch",0.651162790697674,0.13953488372093
2017-10-25,10,1663,7636,1126,42,6160,31912,3295,0,0,0,0,3,6,7,18,0.19169375,16,6,0,0,0,0,0,0,0,43,2017,114.559998,3205300,"Post-Launch",0.4375,0.1875
2017-10-26,8,575,2354,284,79,3013,21530,3068,0,0,0,0,20,18,48,298,0.217803488372093,86,4,0,0,0,0,0,0,0,43,2017,115.830002,2453200,"Post-Launch",0.558139534883721,0.232558139534884
2017-10-27,11,1521,7019,427,106,3483,13561,1083,0,0,0,0,12,11,16,185,-0.00142564102564103,39,2,0,1,0,0,0,0,0,43,2017,116.889999,2892000,"Post-Launch",0.41025641025641,0.307692307692308
2017-10-28,7,1570,6950,199,19,2101,9436,334,0,0,0,0,49,28,62,851,0.0693107913669065,139,0,0,0,0,0,0,0,0,43,2017,NA,NA,"Post-Launch",0.446043165467626,0.352517985611511
2017-10-29,5,1212,6336,260,25,2822,17304,1154,0,0,0,0,34,15,45,625,0.0971606382978723,94,1,0,0,0,0,0,0,0,44,2017,NA,NA,"Post-Launch",0.478723404255319,0.361702127659574
2017-10-30,7,2544,6975,551,44,3240,10910,867,0,0,0,0,12,18,42,163,0.283661111111111,72,1,0,0,1,0,0,0,0,44,2017,117.580002,2614100,"Post-Launch",0.583333333333333,0.166666666666667
2017-10-31,10,1774,9152,883,46,5791,23553,2106,0,0,0,0,20,5,30,98,0.105354545454545,55,28,1,1,0,0,0,0,0,44,2017,119.599998,5477400,"Post-Launch",0.545454545454545,0.363636363636364
2017-11-01,10,4244,13776,1386,73,5946,22530,2715,1,451,2011,67,402,174,535,9492,0.0865422142214221,1111,18,0,1,0,0,1,0,0,44,2017,114.470001,9669200,"Post-Launch",0.481548154815482,0.361836183618362
2017-11-02,14,4241,20423,1426,95,5629,27522,2549,1,0,0,0,92,77,165,1235,0.138779041916168,334,6,0,0,1,0,0,0,0,44,2017,112.690002,3438300,"Post-Launch",0.494011976047904,0.275449101796407
2017-11-03,9,5217,18637,1003,99,10100,42454,3473,7,5980,19602,348,69,89,166,1473,0.20668843537415,294,1,0,1,0,0,0,0,0,44,2017,113.199997,2925300,"Post-Launch",0.564625850340136,0.23469387755102
2017-11-04,14,2562,13740,467,55,2846,15061,707,5,265,5225,119,60,53,115,768,0.177543540669856,209,3,0,0,0,0,0,0,0,44,2017,NA,NA,"Post-Launch",0.550239234449761,0.287081339712919
2017-11-05,11,1636,9194,269,48,2224,12196,576,4,74,2090,48,9,7,14,21,0.3115,15,0,0,0,0,0,0,0,0,45,2017,NA,NA,"Post-Launch",0.933333333333333,0.6
2017-11-06,15,3315,11825,603,79,4423,19888,1381,0,0,0,0,19,14,36,362,0.152431746031746,63,2,0,0,0,0,0,0,0,45,2017,112.459999,3642500,"Post-Launch",0.571428571428571,0.301587301587302
2017-11-07,22,5850,27263,1361,87,9820,47697,2580,0,0,0,0,25,29,43,197,0.0993876288659794,97,7,0,0,0,0,0,0,0,45,2017,111.699997,2830300,"Post-Launch",0.443298969072165,0.257731958762887
2017-11-08,12,3512,15489,1256,55,6546,27723,2503,3,153,733,10,101,187,288,2534,0.176446006944444,576,3,0,1,1,0,0,0,0,45,2017,114.150002,3393900,"Post-Launch",0.5,0.175347222222222
2017-11-09,15,2976,15795,721,109,7871,43488,3088,0,0,0,0,484,368,952,31301,0.159409290540541,1776,9,0,1,0,0,0,0,0,45,2017,111.889999,3445700,"Post-Launch",0.536036036036036,0.272522522522523
2017-11-10,12,1905,9534,512,69,5553,27891,2539,8,55,754,8,567,302,937,4923,0.127857009345794,1605,12,0,2,0,1,0,0,0,45,2017,112.75,2534000,"Post-Launch",0.58380062305296,0.353271028037383
2017-11-11,7,1186,7539,393,32,1791,11182,717,0,0,0,0,431,321,592,41467,0.0855723137254902,1275,0,0,0,0,0,0,0,0,45,2017,NA,NA,"Post-Launch",0.464313725490196,0.338039215686274
2017-11-12,6,1146,5456,732,20,1413,7196,913,0,0,0,0,1710,952,2316,60301,0.0732760860820595,4972,0,0,0,0,0,0,0,0,46,2017,NA,NA,"Post-Launch",0.46580852775543,0.343925985518906
2017-11-13,4,2722,10983,2817,19,2916,12510,2974,0,0,0,0,291,263,670,6873,0.219703473945409,1209,7,0,0,0,0,0,0,0,46,2017,112.010002,3168100,"Post-Launch",0.554177005789909,0.240694789081886
2017-11-14,11,1467,7801,1245,38,2455,12399,1761,6,21,111,4,1286,686,1815,73341,0.0886730087324689,3779,5,0,0,0,0,0,0,0,46,2017,112.269997,3618000,"Post-Launch",0.480285789891506,0.3403016671077
2017-11-15,10,2769,15743,2292,23,3089,18290,2491,4,418,2050,116,482,417,781,37282,0.115177378815081,1671,5,0,1,0,0,0,0,0,46,2017,111.480003,2585900,"Post-Launch",0.467384799521245,0.288450029922202
2017-11-16,9,953,5502,1236,42,1624,9885,1683,6,34,347,10,1153,679,1668,57758,0.108214955676294,3497,4,0,0,0,0,0,0,0,46,2017,111.599998,2445800,"Post-Launch",0.47698026880183,0.329711181012296
2017-11-17,17,44641,67499,8848,52,47278,81335,9669,9,93,647,34,569,437,804,7889,0.0730935355147646,1253,15,0,1,0,1,0,0,0,46,2017,108.82,8556400,"Post-Launch",0.641660015961692,0.454110135674381
2017-11-18,7,7461,7041,868,27,8964,15225,1494,3,189,1970,50,628,518,823,68238,0.0546826630434783,1840,2,0,0,0,0,0,0,0,46,2017,NA,NA,"Post-Launch",0.447282608695652,0.341304347826087
2017-11-19,8,7169,10180,906,22,8065,17637,1253,0,0,0,0,112,116,252,3797,0.151458823529412,476,0,0,0,0,0,0,0,0,47,2017,NA,NA,"Post-Launch",0.529411764705882,0.235294117647059
2017-11-20,10,6105,6900,740,30,13942,19499,1691,0,0,0,0,203,255,460,13512,0.176897062146893,885,5,0,0,0,0,0,0,0,47,2017,107.639999,5974700,"Post-Launch",0.519774011299435,0.229378531073446
2017-11-21,14,1323,5685,856,52,2174,11216,1314,5,16,66,4,403,374,767,8348,0.181249316851008,1537,0,0,0,0,0,0,0,0,47,2017,107.709999,3298400,"Post-Launch",0.499024072869226,0.262199089134678
