"","date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume"
"109",2017-04-19,7,1152,4791,838,49,3342,15010,2355,0,0,0,0,177,194,355,5936,0.134867906336088,726,6,0,0,0,0,0,0,0,16,2017,89.650002,2021400
"110",2017-04-20,5,970,4570,405,74,4804,14470,1221,0,0,0,0,27,27,65,282,0.176342016806723,119,2,0,0,0,0,0,0,0,16,2017,91.209999,2024300
"111",2017-04-21,5,654,3738,137,80,9542,26346,2140,0,0,0,0,84,75,151,5315,0.119220967741935,310,4,0,0,0,0,0,0,0,16,2017,91.940002,1831800
"112",2017-04-22,0,0,0,0,30,2173,13385,1177,2,5,348,2,374,157,565,10306,0.133212682481752,1096,0,0,0,0,0,0,0,0,16,2017,NA,NA
"113",2017-04-23,1,134,766,15,21,1294,7806,724,0,0,0,0,90,32,160,810,0.174657092198582,282,0,0,0,0,0,0,0,0,17,2017,NA,NA
"114",2017-04-24,3,499,2527,48,46,1648,8207,564,0,0,0,0,62,46,88,603,0.11280306122449,196,0,0,0,0,0,0,0,0,17,2017,92.809998,2020900
"115",2017-04-25,1,80,315,12,35,5039,7850,610,0,0,0,0,24,21,44,132,0.176751685393258,89,6,0,0,0,0,0,0,0,17,2017,92.989998,2041400
"116",2017-04-26,2,248,1394,18,39,3928,17097,1075,0,0,0,0,10,9,22,46,0.244787804878049,41,3,0,0,0,0,0,0,0,17,2017,93.5,1543000
"117",2017-04-27,3,291,1694,68,62,1910,10276,1038,0,0,0,0,6,17,47,398,0.443152857142857,70,2,0,0,0,0,0,0,0,17,2017,94.239998,1515700
"118",2017-04-28,2,131,895,86,82,5594,20006,1374,0,0,0,0,24,25,48,529,0.111236082474227,97,0,0,0,0,0,0,0,0,17,2017,94.82,1937800
"119",2017-04-29,1,1189,2028,60,26,2480,9261,711,0,0,0,0,72,160,322,1328,0.323906137184116,554,1,0,0,0,0,0,0,0,17,2017,NA,NA
"120",2017-04-30,1,274,1331,17,25,996,4979,1484,0,0,0,0,98,89,270,3135,0.260417067833698,457,0,0,0,0,0,0,0,0,18,2017,NA,NA
"121",2017-05-01,1,81,294,14,29,1401,6165,432,0,0,0,0,99,68,185,1999,0.165758238636364,352,2,0,0,0,0,0,0,0,18,2017,94.790001,2314800
"122",2017-05-02,4,469,2324,85,32,1183,6184,446,0,0,0,0,71,50,140,2319,0.184391570881226,261,1,0,0,0,0,0,0,0,18,2017,94.25,2332500
"123",2017-05-03,1,1446,2142,75,38,3481,10937,1977,0,0,0,0,14,32,68,183,0.281913157894737,114,8,0,0,0,0,0,0,0,18,2017,94.110001,2872300
"124",2017-05-04,0,0,0,0,62,1582,7862,647,0,0,0,0,16,8,60,172,0.313103571428571,84,6,0,0,0,0,0,0,0,18,2017,94.760002,4548700
"125",2017-05-05,1,24,120,40,36,3464,16628,1953,0,0,0,0,4,10,26,60,0.3424375,40,5,0,0,0,0,0,0,0,18,2017,95.739998,5175900
"126",2017-05-06,1,63,475,12,41,2316,13249,1400,0,0,0,0,19,17,16,210,0.0183807692307692,52,0,0,0,0,0,0,0,0,18,2017,NA,NA
"127",2017-05-07,0,0,0,0,34,801,4402,273,0,0,0,0,21,15,54,341,0.221844444444444,90,0,0,0,0,0,0,0,0,19,2017,NA,NA
"128",2017-05-08,1,6091,2207,94,38,13468,15959,1318,0,0,0,0,5,5,18,35,0.37025,28,1,0,0,0,0,0,0,0,19,2017,95.730003,5318600
"129",2017-05-09,1,38,281,18,54,5202,12404,1337,0,0,0,0,41,52,73,829,0.139957228915663,166,3,1,1,0,0,0,0,0,19,2017,96.010002,6184900
"130",2017-05-10,0,0,0,0,63,2242,9475,1124,0,0,0,0,111,81,175,1735,0.11519224137931,348,18,0,0,0,0,0,0,0,19,2017,108.160004,11166200
"131",2017-05-11,4,5452,12884,1111,42,6492,18505,1752,0,0,0,0,222,184,363,6735,0.108430052493438,762,12,0,0,0,0,0,0,0,19,2017,108.580002,5750600
"132",2017-05-12,5,17257,24746,1310,56,28393,61741,2775,0,0,0,0,72,65,118,1792,0.140820392156863,255,5,0,1,0,0,1,0,0,19,2017,109.089996,3169400
"133",2017-05-13,1,34,140,13,43,1408,8680,1602,0,0,0,0,114,73,168,2817,0.107192112676056,355,0,0,0,0,0,0,0,0,19,2017,NA,NA
"134",2017-05-14,2,202,1048,44,57,921,6245,535,0,0,0,0,187,106,194,5457,0.00487597535934292,487,0,0,0,0,0,0,0,0,20,2017,NA,NA
"135",2017-05-15,2,4181,1683,54,55,6465,15972,1080,0,0,0,0,55,23,64,215,0.04855,142,2,0,0,0,0,0,0,0,20,2017,110.900002,3279800
"136",2017-05-16,1,66,630,11,42,1878,10154,995,0,0,0,0,13,15,46,237,0.21535,74,1,0,0,0,0,0,0,0,20,2017,111.760002,2963400
"137",2017-05-17,1,82,223,11,25,2514,10866,739,0,0,0,0,16,15,31,80,0.176933870967742,62,3,0,0,0,0,0,0,0,20,2017,105.239998,7457200
"138",2017-05-18,0,0,0,0,32,1077,6432,424,0,0,0,0,6,9,12,45,0.139592592592593,27,5,0,0,0,0,0,0,0,20,2017,106.93,3174500
"139",2017-05-19,1,92,208,24,58,8650,35412,1856,0,0,0,0,13,13,27,142,0.211958490566038,53,3,0,0,0,0,0,0,0,20,2017,107.639999,2282400
"140",2017-05-20,2,185,1027,24,40,1969,14060,1149,0,0,0,0,62,39,82,2055,0.0641169398907104,183,2,0,0,0,0,0,0,0,20,2017,NA,NA
"141",2017-05-21,2,249,1117,76,30,3085,11126,614,0,0,0,0,21,12,21,80,0.0238444444444444,54,0,0,0,0,0,0,0,0,21,2017,NA,NA
"142",2017-05-22,0,0,0,0,19,1593,8676,770,0,0,0,0,10,11,23,96,0.208481818181818,44,3,0,0,0,0,0,0,0,21,2017,108.389999,1493200
